(internal) id,(source) id,pubmed id,keywords,abstract,title,journal,authors,tags,consensus,labeled_at,lukas.birkenmaier@gesis.org,labeled_at,general notes (lukas.birkenmaier@gesis.org),population notes (lukas.birkenmaier@gesis.org),intervention/comparator notes (lukas.birkenmaier@gesis.org),outcome notes (lukas.birkenmaier@gesis.org)
33937314,175,WOS:000490390000001,,"There is a worry that serious forms of political conflict, in particular, uncivil behavior of politicians, increases political cynicism and demobilizes the public. Despite the close relation of incivility with social and cultural norms of what is an acceptable form of discussion, studies are mostly restricted to one country. To overcome this blind spot, we conduct a cross-national experiment in three countries (the Netherlands, UK and Spain) testing whether civil and uncivil forms of mediated political conflict affect cynicism toward the EU, political participation intentions, and the support for the policies discussed. Results indicate that despite different levels of conflict in the news, and different levels of cynicism and participation in these countries, the effects of incivility are homogenous. Uncivil political conflict has negative effects on political participation intention and policy support but does not significantly affect cynicism ? in each of the three countries. We also test the role of an individual-level factor, namely Tolerance for Disagreement (TfD). Citizens with low levels of TfD are more affected by uncivil conflict, while subjects with high TfD seem to be immune against violations of social norms. We discuss these finding against the backdrop of individual and cultural influences on political communication effects and cross-cultural experimental research in more general terms.
",Is Context the Key? The (Non-)Differential Effects of Mediated Incivility in Three European Countries,Polit. Commun.,,,o,,-1,27/06/2022 08:14,,,,
33937315,113,WOS:000387225400003,,"The electoral model of democracy holds the ideal of citizens who are well informed about politics, and regards it as a task of news media to provide citizens with political information. Against this ideal, the quality of political news in online news outlets is highly contested. While pessimists point out the dangers of increased competition online, optimists emphasize the potential benefits of unlimited space and interactivity. To see which view holds true, this paper compares political news in popular and elite print newspapers and their respective online editions during the 2013 National Election Campaign in Austria. Findings show that online editions score better than paper editions regarding the amount of political news, (party) diversity, and emotionalization, but differences between newspaper types were notable. Whereas elite newspapers cover politics online more extensively than in print, the reverse is true for popular newspapers. Leader focus is also strong in popular papers online. We conclude that the gap in quality between political news in elite and in popular newspapers is larger online. This might contribute to a wider gap between a well-informed elite audience and a lesser-informed popular news audience, when audiences switch from print to online news.
",POLITICAL NEWS IN ONLINE AND PRINT NEWSPAPERS Are online editions better by electoral democratic standards?,Digit. Journal.,,,o,,-1,27/06/2022 08:16,,,,
33937316,122,WOS:000485280200002,,"Machine learning is a field at the intersection of statistics and computer science that uses algorithms to extract information and knowledge from data. Its applications increasingly find their way into economics, political science, and sociology. We offer a brief introduction to this vast toolbox and illustrate its current uses in the social sciences, including distilling measures from new data sources, such as text and images; characterizing population heterogeneity; improving causal inference; and offering predictions to aid policy decisions and theory development. We argue that, in addition to serving similar purposes in sociology, machine learning tools can speak to long-standing questions on the limitations of the linear modeling framework, the criteria for evaluating empirical findings, transparency around the context of discovery, and the epistemological core of the discipline.
",Machine Learning for Sociology,Annu. Rev. Sociol.,,,o,,-1,27/06/2022 08:16,,,,
33937317,467,WOS:000371097900010,,"Research on digital glocalization has found that Internet communication, which enables communication across distances, also enhances local ties. As a first-time test of this on mobile devices, a neighborhood texting intervention was employed in New York City public housing. Results of this 3-month field experiment revealed that intervention participants reported better health but worse neighborhood cohesion compared to those in the control condition. Qualitative analysis of texts and interviews suggests that participation improved interpersonal ties but did not improve neighborhood ties. Findings expand glocalization research to encompass mobile contexts and health outcomes, and support a theory of networked individualism, which argues that digital groups should be conceptualized as a compilation of overlapping interpersonal ties.
",Improving Health in Low-Income Communities With Group Texting,J. Commun.,,,o,,-1,27/06/2022 08:16,,,,
33937318,10,WOS:000537176300006,,"Political scientists often wish to classify documents based on their content to measure variables, such as the ideology of political speeches or whether documents describe a Militarized Interstate Dispute. Simple classifiers often serve well in these tasks. However, if words occurring early in a document alter the meaning of words occurring later in the document, using a more complicated model that can incorporate these time-dependent relationships can increase classification accuracy. Long short-term memory (LSTM) models are a type of neural network model designed to work with data that contains time dependencies. We investigate the conditions under which these models are useful for political science text classification tasks with applications to Chinese social media posts as well as US newspaper articles. We also provide guidance for the use of LSTM models.
",Using Word Order in Political Text Classification with Long Short-term Memory Models,Polit. Anal.,,,o,,-1,27/06/2022 08:17,,,,
33937319,409,WOS:000438711800016,,"Computational models have been underutilized as tools for formal theory development, closing off theoretical analysis of complex substantive scenarios that they would well serve. I argue that this occurs for two reasons, and provide resolutions for each. First, computational models generally do not employ the language or modes of analysis common to game-theoretic models, the status quo in the literature. I detail the types of insights typically derived from game-theoretic models and discuss analogues in computational modeling. Second, there are not widely established procedures for analysis of deductive computational models. I present a regularized method for deriving comparative statics from computational models that provides insights comparable to those arising from game-theoretic analyses. It also serves as a framework for building theoretically tractable computational models. Together, these contributions should enhance communication between models of social science and open up the tool kit of deductive computational modeling for theory building to a broader audience.
",Analyzing Computational Models,Am. J. Polit. Sci.,,,o,,-1,27/06/2022 08:17,,,,
33937320,385,WOS:000492249900001,,"This article uses conversation analysis to study other-initiated repair in multiactivity situations. The article focuses on two aspects of the repair initiator?s embodied conduct directly connected to the initiator?s involvement in multiactivity: body torque and the suspension of a parallel manual activity. The analysis reveals how the body torque and suspension of manual activity, when co-occurring with other-initiations of repair, display the OIR-speaker?s temporary disengagement from the manual activity and how this embodied conduct communicates downward prioritization of the manual activity and increased involvement in the interaction. This article shows that, to participants in a conversation and simultaneously involved in multiactivity, solving interactional trouble is prioritized over the progression of the parallel manual task and that this hierarchization of activities displays a strong preference toward restoration and maintenance of intersubjectivity. Data are in English and in French with English translation.
","How to Disengage: Suspension, Body Torque, and Repair",Res. Lang. Soc. Interact.,,,o,,-1,27/06/2022 08:17,,,,
33937321,192,WOS:000407786700005,,"Despite generating widespread contempt, political TV ads play an important informational role in the lives of citizens. This study examines effects of Ad Type (Positive, Negative, and Comparison) on recognition memory for candidate issue positions. Potential moderators (Ad Sponsor Partisanship X Viewer Partisanship, Ad Type X Viewer Ideology, Ad Type X Viewer Partisanship) of political ad memory are explored, and electroencephalography (EEG) recordings are used to examine whether semantic processing (indexed as brain activity in the gamma band frequency range) mediates main or moderated effects of Ad Type on Memory. Results reveal a significant interaction between Ad Type and Partisanship, with Republicans remembering more from positive relative to negative ads (significant), and Democrats remembering more from negative ads (marginally significant). A direct effect of Gamma on Memory highlights the considerable potential that EEG (in general) and the gamma frequency band (in particular) may hold for the study of message processing.
",Memory for Positive and Negative Political TV Ads: The Role of Partisanship and Gamma Power,Polit. Commun.,,,o,,-1,27/06/2022 08:18,,,,
33937322,334,WOS:000789173700001,,"Because of its global status, donors and states promote English for economic development of countries in the global South such as Bangladesh. Governments, donors, and western leaders propose that people in madrasas (Islamic educational institutes) should learn English for development and security. But voices from madrasas are little heard. Based on a linguistic ethnography, this article presents some of these neglected perspectives on English for development at a private and unreformed Qawmi madrasa in rural Bangladesh. The findings show that people in the madrasa from a reflexively traditional stance, reject economic progress and western development programmes, and largely resist English as a language of development. These positions are considerably shaped by their commitments to religion and Arabic, supporting their alternative language and development visions. This article, based on the findings and drawing on Southern theory, interrogates the promotion of English for development, and asks how alert it is to heterogenous and complex southern realities.
",English and Development: Voices from a Rural Bangladeshi Madrasa,Appl. Lingusit,,,o,,-1,27/06/2022 08:18,,,,
33937323,337,WOS:000710036400001,,"This study explores the ways in which global press freedom watchdogs have discursively constructed the issue of press freedom during the Covid-19 pandemic. Drawing on a multimodal discourse analysis, the study examines web stories and Tweets posted by the International Press Institute (IPI), the Committee to Protect Journalists (CPJ), and Reporters sans Frontieres (RSF), with the purpose of answering three primary questions: (1) Who or what do the CPJ, the IPI, and RSF represent as the greatest threat to press freedom in relation to Covid-19? (2) What are the differences between these groups' representations of press freedom in their own regions of the world and their representations of press freedom in 'Other' places? (3) What digital strategies do the IPI, CPJ, and RSF use in coverage of the Covid-19 pandemic? The article ultimately seeks to understand the ways in which each of these influential press freedom groups help to popularize particular understandings of press freedom in the 21st century.
","Press Freedom during Covid-19: The Digital Discourses of the International Press Institute, Reporters Sans Frontieres, and the Committee to Protect Journalists",Digit. Journal.,,,o,,1,27/06/2022 08:18,,,,
33937324,314,WOS:000349897100007,,"This article explores the development of the language alternation practices of a bilingual child who is growing up with two languages: English, which she speaks with her father and older brother, and Italian, which she speaks with her mother. It reports on a microanalysis of the dyadic interactions between parent and child when the child was aged 18-24months. The analyses focus on how and when parent and child attend to language alternation as they interact with each other in everyday contexts such as mealtimes, shared book reading, and play. The results of this study frame simultaneous bilingualism as a matter of the local situated concerns of the participants that can nonetheless have a developmental focus. The data are in Australian English and Italian.
",The Development of Recipient Design in Bilingual Child-Parent Interaction,Res. Lang. Soc. Interact.,,,o,,-1,27/06/2022 08:21,,,,
33937325,271,WOS:000453856200005,,"Candidates for political office in the United States can appeal to constituents in either English or in Spanish. We investigate the consequences of this choice in a series of survey experiments conducted on large, diverse samples of both monolingual and bilingual Americans. We take advantage of parallel advertisements produced in both English and Spanish by real candidates for national officeone presidential and two congressional. Because our design holds constant candidates' policy positions, we can attribute the effects on vote choice directly to the choice of language over and above other candidate attributes. In two of our three experiments, the Spanish-language advertisements increased candidates' electoral support by 5 percentage points among bilinguals. We find the opposite pattern of results among English-speaking monolingual Americans, who respond very negatively to Spanish-language advertisements. Our results shed light on the strategic calculus of candidates who must appeal to multiple linguistic communities at once.
",Do Bilinguals Respond More Favorably to Candidate Advertisements in English or in Spanish?,Polit. Commun.,,,o,,-1,27/06/2022 08:21,,,,
