"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"NMYGCIWJ","journalArticle","2018","Sydnor, Emily","Platforms for Incivility: Examining Perceptions Across Different Media Formats","Political Communication","","1058-4609, 1091-7675","10.1080/10584609.2017.1355857","https://www.tandfonline.com/doi/full/10.1080/10584609.2017.1355857","","2018-01-02","2022-07-04 14:48:55","2022-07-04 14:48:55","2022-07-04 14:48:55","97-116","","1","35","","Political Communication","Platforms for Incivility","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YZBHPVN3","journalArticle","2021","Kim, In Song; Kunisky, Dmitriy","Mapping Political Communities: A Statistical Analysis of Lobbying Networks in Legislative Politics","Political Analysis","","1047-1987, 1476-4989","10.1017/pan.2020.29","https://www.cambridge.org/core/product/identifier/S1047198720000297/type/journal_article","Abstract                            We propose a new methodology for inferring political actors’ latent memberships in communities of collective activity that drive their observable interactions. Unlike existing methods, the proposed               Bipartite Link Community Model               (               biLCM               ) (1) applies to two groups of actors, (2) takes into account that actors may be members of more than one community, and (3) allows a pair of actors to interact in more than one way. We apply this method to characterize legislative communities of special interest groups and politicians in the 113th U.S. Congress. Previous empirical studies of interest group politics have been limited by the difficulty of observing the ties between interest groups and politicians directly. We therefore first construct an original dataset that connects the politicians who sponsor congressional bills with the interest groups that lobby on those bills based on more than two million textual descriptions of lobbying activities. We then use the               biLCM               to make quantitative measurements of actors’ community memberships ranging from narrow targeted interactions according to industry interests and jurisdictional committee membership to broad multifaceted connections across multiple policy domains.","2021-07","2022-07-04 14:48:55","2022-07-04 14:48:55","2022-07-04 14:48:55","317-336","","3","29","","Polit. Anal.","Mapping Political Communities","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\birkenls\Zotero\storage\BHY849FV\Kim and Kunisky - 2021 - Mapping Political Communities A Statistical Analy.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G7K9XX3C","journalArticle","2019","Welbers, Kasper; Opgenhaffen, Michaël","Presenting News on Social Media: Media logic in the communication style of newspapers on Facebook","Digital Journalism","","2167-0811, 2167-082X","10.1080/21670811.2018.1493939","https://www.tandfonline.com/doi/full/10.1080/21670811.2018.1493939","","2019-01-02","2022-07-04 14:48:56","2022-07-04 14:48:56","2022-07-04 14:48:56","45-62","","1","7","","Digital Journalism","Presenting News on Social Media","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\birkenls\Zotero\storage\XS4U2IIS\Welbers and Opgenhaffen - 2019 - Presenting News on Social Media Media logic in th.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LE5GXV5R","journalArticle","2019","Goet, Niels D.","Measuring Polarization with Text Analysis: Evidence from the UK House of Commons, 1811–2015","Political Analysis","","1047-1987, 1476-4989","10.1017/pan.2019.2","https://www.cambridge.org/core/product/identifier/S1047198719000020/type/journal_article","Political scientists can rely on a long tradition of applying unsupervised measurement models to estimate ideology and preferences from texts. However, in practice the hope that the dominant source of variation in their data is the quantity of interest is often not realized. In this paper, I argue that in the messy world of speeches we have to rely on supervised approaches that include information on party affiliation in order to produce               meaningful               estimates of polarization. To substantiate this argument, I introduce a validation framework that may be used to comparatively assess supervised and unsupervised methods, and estimate polarization on the basis of 6.2 million records of parliamentary speeches from the UK House of Commons over the period 1811–2015. Beyond introducing several important adjustments to existing estimation approaches, the paper’s methodological contribution therefore consists of outlining the challenges of applying unsupervised estimation techniques to speech data, and arguing in detail why we should instead rely on supervised methods to measure polarization.","2019-10","2022-07-04 14:48:56","2022-07-04 14:48:56","2022-07-04 14:48:56","518-539","","4","27","","Polit. Anal.","Measuring Polarization with Text Analysis","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SC2IFXPG","journalArticle","2020","Jung, Jae‐Hee","The Mobilizing Effect of Parties' Moral Rhetoric","American Journal of Political Science","","0092-5853, 1540-5907","10.1111/ajps.12476","https://onlinelibrary.wiley.com/doi/10.1111/ajps.12476","","2020-04","2022-07-04 14:48:56","2022-07-04 14:48:56","2022-07-04 14:48:56","341-355","","2","64","","American Journal of Political Science","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\birkenls\Zotero\storage\AP7NM949\Jung - 2020 - The Mobilizing Effect of Parties' Moral Rhetoric.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7JMZ8S2S","journalArticle","2016","Theocharis, Yannis; Barberá, Pablo; Fazekas, Zoltán; Popa, Sebastian Adrian; Parnet, Olivier","A Bad Workman Blames His Tweets: The Consequences of Citizens' Uncivil Twitter Use When Interacting With Party Candidates: Incivility in Interactions With Candidates on Twitter","Journal of Communication","","00219916","10.1111/jcom.12259","https://academic.oup.com/joc/article/66/6/1007-1031/4082403","","2016-12","2022-07-04 14:48:56","2022-07-04 14:48:56","2022-07-04 14:48:56","1007-1031","","6","66","","J Commun","A Bad Workman Blames His Tweets","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\birkenls\Zotero\storage\LLNSQWDZ\Theocharis et al. - 2016 - A Bad Workman Blames His Tweets The Consequences .pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"E4AKWYAR","journalArticle","2020","Rodman, Emma","A Timely Intervention: Tracking the Changing Meanings of Political Concepts with Word Vectors","Political Analysis","","1047-1987, 1476-4989","10.1017/pan.2019.23","https://www.cambridge.org/core/product/identifier/S1047198719000238/type/journal_article","Word vectorization is an emerging text-as-data method that shows great promise for automating the analysis of semantics—here, the cultural meanings of words—in large volumes of text. Yet successes with this method have largely been confined to massive corpora where the meanings of words are presumed to be fixed. In political science applications, however, many corpora are comparatively small and many interesting questions hinge on the recognition that meaning changes over time. Together, these two facts raise vexing methodological challenges. Can word vectors trace the changing cultural meanings of words in typical small corpora use cases? I test four time-sensitive implementations of word vectors (               word2vec               ) against a gold standard developed from a modest data set of 161 years of newspaper coverage. I find that one implementation method clearly outperforms the others in matching human assessments of how public dialogues around equality in America have changed over time. In addition, I suggest best practices for using               word2vec               to study small corpora for time series questions, including bootstrap resampling of documents and pretraining of vectors. I close by showing that               word2vec               allows granular analysis of the changing meaning of words, an advance over other common text-as-data methods for semantic research questions.","2020-01","2022-07-04 14:48:57","2022-07-04 14:48:57","2022-07-04 14:48:57","87-111","","1","28","","Polit. Anal.","A Timely Intervention","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FHEJQ2AN","journalArticle","2018","Kim, In Song; Londregan, John; Ratkovic, Marc","Estimating Spatial Preferences from Votes and Text","Political Analysis","","1047-1987, 1476-4989","10.1017/pan.2018.7","https://www.cambridge.org/core/product/identifier/S1047198718000074/type/journal_article","We introduce a model that extends the standard vote choice model to encompass text. In our model, votes and speech are generated from a common set of underlying preference parameters. We estimate the parameters with a sparse Gaussian copula factor model that estimates the number of latent dimensions, is robust to outliers, and accounts for zero inflation in the data. To illustrate its workings, we apply our estimator to roll call votes and floor speech from recent sessions of the US Senate. We uncover two stable dimensions: one ideological and the other reflecting to Senators’ leadership roles. We then show how the method can leverage common speech in order to impute missing data, recovering reliable preference estimates for rank-and-file Senators given only leadership votes.","2018-04","2022-07-04 14:48:57","2022-07-04 14:48:57","2022-07-04 14:48:57","210-229","","2","26","","Polit. Anal.","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\birkenls\Zotero\storage\KVBR5LM5\Kim et al. - 2018 - Estimating Spatial Preferences from Votes and Text.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MBI49YVT","journalArticle","2020","Tai, Yun; Fu, King-wa","Specificity, Conflict, and Focal Point: A Systematic Investigation into Social Media Censorship in China","Journal of Communication","","0021-9916, 1460-2466","10.1093/joc/jqaa032","https://academic.oup.com/joc/article/70/6/842/5913142","Abstract             Internet censorship mechanisms in China are highly dynamic and yet to be fully accounted for by existing theories. This study interrogates postpublication censorship on Chinese social media by examining the differences between 2,280 pairs of censored WeChat articles and matched remaining articles. With the effects of account attributes and article topics excluded, we find that article specificity raises the odds of being censored. Also, an examination on a collection of international trade articles indicates that such articles with textual units disclosing conflicts, even pro-regime messages, are also removed by the censors. This mixed-method study introduces focal point as a theoretical angle to understand China’s contextually contingent content regulation system and offers evidence based on large-scale, nonproprietary, and original social media data to investigate the evolving censorship mechanisms in China.","2020-12-17","2022-07-04 14:48:58","2022-07-04 14:48:58","2022-07-04 14:48:57","842-867","","6","70","","","Specificity, Conflict, and Focal Point","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RYDXV2LX","journalArticle","2021","Knox, Dean; Lucas, Christopher","A Dynamic Model of Speech for the Social Sciences","American Political Science Review","","0003-0554, 1537-5943","10.1017/S000305542000101X","https://www.cambridge.org/core/product/identifier/S000305542000101X/type/journal_article","Speech and dialogue are the heart of politics: nearly every political institution in the world involves verbal communication. Yet vast literatures on political communication focus almost exclusively on what words were spoken, entirely ignoring how they were delivered—auditory cues that convey emotion, signal positions, and establish reputation. We develop a model that opens this information to principled statistical inquiry: the model of audio and speech structure (MASS). Our approach models political speech as a stochastic process shaped by fixed and time-varying covariates, including the history of the conversation itself. In an application to Supreme Court oral arguments, we demonstrate how vocal tone signals crucial information—skepticism of legal arguments—that is indecipherable to text models. Results show that justices do not use questioning to strategically manipulate their peers but rather engage sincerely with the presented arguments. Our easy-to-use R package,               communication               , implements the model and many more tools for audio analysis.","2021-05","2022-07-04 14:48:59","2022-07-04 14:48:59","2022-07-04 14:48:59","649-666","","2","115","","Am Polit Sci Rev","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\birkenls\Zotero\storage\UD9HJNYJ\Knox and Lucas - 2021 - A Dynamic Model of Speech for the Social Sciences.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
