Zeitstempel;This is the title of the Study;These are the Authors;"Please scan the text. 
Does the study fulfil the eligibility criteria?
- Empirical Study
- Field of Political Communication
- Using Text as Data Method to operationalise a construct of interest 

You may come back to this question if you have started to fill in some fields as well";If no: Why is the study out of scope?;What is the data source? ;What is the data language?;If others: Name all languages in the data? If there is more than one language assessed, please separate languages by a comma (,);"Please name the target construct as described by the authors)
Note: Please use the exact wording of the authors, such as ""affective polarization"", ""semantic complexity"".
If there is more than one construct studied, please separate constructs by a comma (,)";What Type(s) of method are initially applied? ;What is the name of the method? If there is more than one method applied, please separate methods by a comma (,);What is the outcome of the method?;Do you have any comments on the study design? ;If yes: What are your comments on the study design?;Are steps of validation reported? ;"In what paragraphs is the step of validation / robustness checks / […] reported? 
Please copy the paragraph/description into the open field, so that the whole validation procedure is copied! ";"What step of validation exercises is reported? 
Please report the brief description by the authors (e.g., in the abstract, in the introduction, or at the beginning of the method/validation section). This can also include just a term (e.g. face validity), but should not be longer than one sentence.
";"What type of Validation exercise does this refers to? 
For a detailed discussion on the different categories, please refer to the Coding Manual";Is there another validation step reported in the paper?;"In what paragraphs is the step of validation / robustness checks / […] reported? 
Please copy the paragraph/description into the open field!";"What step of validation exercises is reported? 
(As described by the authors)";"What type of Validation exercise does this refers to? 
For a detailed discussion on the different categories, please refer to the Coding Manual";Is there another validation step reported in the paper?;"In what paragraphs is the step of validation / robustness checks / […] reported? 
Please copy the paragraph/description into the open field!";"What step of validation exercises is reported? 
(As described by the authors)";"What type of Validation exercise does this refers to? 
For a detailed discussion on the different categories, please refer to the Coding Manual";Is there another validation step reported in the paper?;"In what paragraphs is the step of validation / robustness checks / […] reported? 
Please copy the paragraph/description into the open field!";"What step of validation exercises is reported? 
(As described by the authors)";"What type of Validation exercise does this refers to? 
For a detailed discussion on the different categories, please refer to the Coding Manual";Is there another validation step reported in the paper?;"In what paragraphs is the step of validation / robustness checks / […] reported? 
Please copy the paragraph/description into the open field!";"What step of validation exercises is reported? 
(As described by the authors)";What type of Validation exercise does this refers to? ;;Is there another validation step reported in the paper?;In what paragraphs are issues of measurement validity / robustness checks / […] reported? Please copy them into the open field! ;"What step of validation exercises is reported? 
(As described by the authors)";What type of Validation exercise does this refers to? ;Is there another validation step reported in the paper?;Is there a link to an Appendix/additional Materials/GitHub repository? ;"
Is the data for the analysis accessible? ";Is the code for the analysis accessible?;Any Comments on Open Science Standards?;E-Mail-Adresse
27.07.2022 11:13:56;Platforms for Incivility: Examining Perceptions Across Different Media Formats;Sydnor, Emily;No;experimental design;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27.07.2022 11:21:40;Mapping Political Communities: A Statistical Analysis of Lobbying Networks in Legislative Politics;"Kim, In Song; Kunisky, Dmitriy";No;Only identification of texts using words, method is network analysis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27.07.2022 11:45:22;Presenting News on Social Media: Media logic in the communication style of newspapers on Facebook;"Welbers, Kasper; Opgenhaffen, Michaël";Yes, Continue with Coding;;Social Media: Facebook;Others;Dutch;Subjective Language (Subjectivity and Polarity);Rule-based: Off-the-shelf dictionary;FROG software, subjectivity lexicon for Dutch adjectives;Classification;Yes;Data comes from Newspaper Articles on Facebook;Yes;As illustration, Table 1 shows the results of the tool for several example sentences. The first two sentences describe a negative event, but the first sentence only states the facts, whereas the second sentence contains the adjective horrible, which is a negative subjective evaluation. Thus the first sentence is considered neutral, whereas the second is very subjective (1.00) and very negative (1.00). In the third sentence we see a combination of one positive and two negative words, which causes a moderate negative polarity (–0.66). Sentences four to eight show how different words have different intensities, and how negations (“not”) and intensifiers (“very”, exclamation marks) affect results.;Visual Inspection;Content Validation (e.g., Human Judgement);No;;;;;;;;;;;;;;;;;;;;;;No;;;;
27.07.2022 12:20:52;Measuring Polarization with Text Analysis: Evidence from the UK House of Commons, 1811–2015;Goet, Niels D.;Yes, Continue with Coding;;Politics: Parliamentary Records;English;;Polarization;Supervised: Machine Learning, Unsupervised: Text Scaling;wordfish, wordshoal, SGD (stochastic gradient descent);Classification, Scaling;Yes;Comparison of different methods. However, still empirical application ;Yes;An important quality of meaningful estimates from text-based measures of polarization is that they should correspond with our expectations of how the measure develops over time. As part of this face validity criterion, the general test (1.1) considers the stability of estimates within parliaments. One element of immediate concern is the implausibly high level of variability shown in the estimates within parliaments for the Wordshoal-based measure (Figure 2). The changes are dramatic, suggesting an almost random pattern of switches between high and low levels of polarization that are uncorrelated between sessions. By contrast, the measures derived from the classifier yield more stable results (Figure 3), with relatively high correspondence between sessions within a parliamentary term that appear to map onto a “stable political space”.;Visual Inspection of measures over time;Content Validation (e.g., Human Judgement);Yes;At a more granular level, the detailed test (1.2) similarly suggests that the machine classifier is able to produce estimates that correspond to our a priori expectations in a way that Wordshoal cannot. Figure 3 shows that this first measure corresponds well with important historically identifiable outliers in polarization (Table 2). Polarization grows in the wake of the Corn Laws (Table 2, id 1) and of the 1832 Reform Act (id 2), and is generally higher in the period aer 1880 (ids 3 & 4). The formation of the Liberal Unionist party in 1886 appears to mark the start of a period during which members did not fall consistently within their party label, which explains the rather dramatic drop in that year. Although they generally agreed with the Conservatives on Ireland, they were still classed as “Liberals” (at least for part of the time), which makes aggregate polarization look very low.;Comparison of measures with expected levels of polarization;Content Validation (e.g., Human Judgement);Yes;Our second set of tests focuses on the convergence of the estimates with an exogenous measure. First, to investigate the correspondence with session-level estimates (2.1), comparable data are only available for the period aer 1945, for which we can analyze the convergent validity of our estimates with the rile score (Laver and Budge 1992) of the parties based on the CMP data (Volkens et al. 2016).33 Figure 5 above presents a visual comparison.34 Here, the sessional score for the year preceding the election year is matched with the CMP scores.;Convergent validation with rile score of parties;External Validation: Other Scores / Measures;Yes;A more promising level for comparison is that of individual estimates (2.2), for which we can rely on data from the 1992 wave of the British Candidate Survey (BCS) (Norris and Lovenduski 1995).36 The BCS asks respondents to rank themselves on a seven-point ordinal le-to-right scale. I match these records from the 1992 wave—the availability of which is, of course, limited by response rates—with my own MP-level estimates (taking their maximum prediction value). I do so for the first session of the 1992–1997 parliament, as this is closest (in time) to when MPs responded to the survey (i.e. in 1991). The results (Figure 5) show that the estimates correlate most strongly with the classifier results (ρ = 0.43), but followed closely by Wordshoal (at ρ = 0.42). Naturally, we cannot extrapolate to the full sample, but these results are nevertheless encouraging. Specifically, they suggest that the machine classifier is, similar to Wordshoal, able to produce results that bear a close relationship to the position that legislators give themselves on a le-to-right scale;comparison with survey data;External Validation: Other Scores / Measures;Yes;Examining the stability of the estimates over time (between-session consistency test (3.1)), allows us to establish whether the estimated positions reflect long-held political views of legislators, or, alternatively, represent issue-specific divergences. Such stability is crucial when it is our intention to use a polarization measure in a substantive application, i.e. to test hypotheses that relate to political phenomena across extended time periods. It ensures that the measure is comparable over time, that is, that it relates to the same construct rather than to issue-specific divergences. To assess between-session consistency (or: stability), we consider the correlation from one year to the next for legislators in each parliament. Fi;Assessment of stability over time;Content Validation (e.g., Human Judgement);;Yes;Finally, the validation framework prescribes an investigation of the explanatory power of the party (3.3): do these text-based approaches capture anything beyond simple governmentopposition dynamics? To evaluate this question, we take a simple linear model for each session where we regress individual scores on their party’s mean position. These measures are plotted in Figure 9. It is clear that the SGD algorithm is not simply capturing party affiliation. There is a relatively strong correspondence between party position and label, but the levels of the R 2 show that some unexplained variation remains. It has a mean of 0.39 across the sample, and a minimum and maximum of 0.01 and 0.95 respectively.38 We obtain different results for the Wordshoal estimates. Here the range is [1.09e − 8, 0.55] with a mean of 0.06. These values are implausibly low and reaffirm our findings above that the division between parties in this approach less clearly reflects political affiliation.;Explanatory power in regression;External Validation: Other Scores / Measures;No;Yes;Yes;Yes;;
28.07.2022 16:14:52;The Mobilizing Effect of Parties' Moral Rhetoric;Jung, Jae‐Hee;Yes, Continue with Coding;;Politics: Party Manifestos;English;;moral rhetoric;Rule-based: Adjusted dictionary;Moral Foundations Dictionary (MFD);Classification;No;;Yes;Table SI3.1 shows randomly chosen examples of moral and non-moral quasi-sentences identified by the text analysis. The first column lists moral quasi-sentences, and the second column lists non-moral quasi-sentences. The examples show that quasi-sentences that are coded as moral involve either nuanced or overt appeals to morality. Meanwhile, quasi-sentences that are identified as non-moral are of various types: some are factual statements about policy and others are pragmatic, instrumental types of appeal. These examples suggest the face validity of Moral rhetoric.;Visual Inspection of Sentences;Content Validation (e.g., Human Judgement);Yes;I have checked the validity of Moral rhetoric in more systematic ways. First, I have checked that Moral rhetoric is consistent with conventional wisdom on the moral foundations of leftist voters and rightist voters. One of the most notable findings in the literature on the moral foundations theory is that the left and the right have different moral worlds (Graham, Haidt and Nosek 2009). That is, leftists tend to prioritize the care/harm and fairness/cheating foundations (i.e., individualizing foundations) over the authority/subversion, loyalty/betrayal, and sanctity/degradation foundations (i.e., binding foundations). Rightists, on the other hand, have a more even emphasis on individualizing and binding foundations. If so, my measure should pick up this pattern since parties are likely to use language that aligns with the moral worlds of their base. Therefore, I classified the ideology of the parties in my data using the ‘rile’ score from the Manifesto Project (Volkens et al. 2016). I coded parties with a score smaller than or equal to the mean value in the data as left-wing and parties with a score larger than the mean value as right-wing. Then, I checked whether left-wing parties have a higher percentage of quasi-sentences appealing to the care/harm and fairness/cheating foundations than the other three foundations. I find that left-wing parties indeed have higher proportions of quasisentences appealing to the individualizing foundations (mean difference = 0.02, p = 0.00 in a paired one-tailed t-test). I also checked whether right-wing parties have an even usage of individualizing and binding foundations. Results show that right-wing parties have no difference in the proportion of quasi-sentences appealing to the care/harm and fairness/cheating foundations and the proportion of quasi-sentences appealing to the loyalty/betrayal, authority/subversion, and sanctity/degradation foundations (mean difference = −0.01, p = 0.42 in a paired two-tailed t-test). The results are plotted in Figure SI3.1. These patterns remain the same when I code parties with a rile score of ‘0’ or below as left-wing and the rest as right-wing. I have also checked whether (1) left-wing parties appeal to individualizing foundations more than right-wing parties do and (2) right-wing parties appeal to binding foundations more than left-wing parties do. These are the expectations one might have based on Lipsitz (2018)’s finding that (1) liberal candidates (in the U.S. context) are more likely to emphasize the care and fairness foundations in their ads than conservative candidates do and (2) conservative candidates are more likely to emphasize the authority, loyalty, and sanctity foundations than liberal candidates do. In my data, I find that left-wing parties’ emphasis on individualizing foundations is one-percentage point higher than right-wing parties’ emphasis on individualizing foundations and that the difference is not statistically significant (p = 0.27 in a one-tailed t-test). On the other hand, I find that right-wing parties’ emphasis on bindings foundations is three-percentage points higher than left-wing parties’ emphasis on binding foundations and that the difference is statistically significant (p = 0.06 in a one-tailed t-test). The results are plotted in Figure SI3.2. Although the results are partially supportive of the expectations, I do not believe that I need to take great stock of the results because the difference in individualizing (binding) appeals between left-wing parties and right-wing parties does not necessarily have to play out in political texts. For example, suppose that a left-wing party A devotes 20% of its manifesto to moral appeal while a right-wing partyB devotes 60%. Party A uses 15% on individualizing appeals and 5% on binding appeals, while party B uses 30% on each type of foundation. In this case, right-wing party B appeals more to individualizing foundations than left-wing party A does, not because party B fundamentally prioritizes individualizing foundations more than party A does, but because party B is using more moral rhetoric overall. That could be why Lipsitz (2018) finds that (1) Democratic ads appeal significantly more to individualizing foundations than Republican ads do in presidential elections, but not necessarily in non-presidential elections and that (2) Republican ads contain significantly more binding appeals than Democratic ads do in House, Senate, and gubernatorial elections, but not necessarily in presidential elections.;correlation left-right dimension (rile score) of manifesto project;External Validation: Other Scores / Measures;Yes;Second, I have assessed both convergent and discriminant construct validity by looking at the relationship of my measure with a measure that is likely to be positively correlated but distinct: sociocultural issue emphasis. If my measure captures moral rhetoric well, it should have a positive correlation with the extent to which a party emphasizes social issues. Although moral rhetoric can emerge in a wide range of policy areas, intuition suggests that social issues like culture and family policy are more conducive to moral rhetoric than economic issues like trade and jobs because of the nature of the issue area. Hence, there should be a positive correlation between moral rhetoric and sociocultural issue emphasis. However, moral rhetoric is a different concept from sociocultural issue emphasis, so the positive correlation should not be high if my measure is measuring what it is supposed to measure. To test this, I calculated the proportion of sociocultural quasi-sentences for all the manifestos in my data. To identify sociocultural quasi-sentences, I followed the categorization developed in Tavits and Potter (2015). The correlation I find between Moral rhetoric and sociocultural issue emphasis is 0.21. The correlation is significant in a one-tailed test (p = 0.03). This provides evidence in support of the construct validity of Moral rhetoric.;Convergence with sociocultural issue emphasis;External Validation: Other Scores / Measures;Yes;"Third, I have checked whether moral rhetoric is used more in the sociocultural dimension than the economic dimension. This is again based on the intuition that moral rhetoric is more easily used in sociocultural issues than economic issues. I have classified the quasi-sentences into the two dimensions using the classification developed in Tavits and Potter (2015). I find that parties do have a higher proportion of moral quasi-sentences among quasi-sentences in the sociocultural dimension than among quasi-sentences in the economic dimension. The mean proportion in the sociocultural dimension is 0.43; the mean proportion in the economic dimension is 0.31 (mean difference = 0.12, p = 0.00 in a paired one-tailed t-test).";Predictive power on sociocultural dimension;External Validation: Other Scores / Measures;Yes;Fourth, I find that my measure of moral rhetoric does not have a systematic correlation with ideology, indicating that moral rhetoric is a distinct concept rather than a proxy for ideological extremism. The correlation between Moral rhetoric and the ‘rile’ score is 0.10 and not statistically significant (p = 0.38). Moreover, Figure SI3.3 shows that there is no Ushaped relationship. I also find that Moral rhetoric is not systematically different between mainstream parties and niche parties. The mean for mainstream parties is 0.29, and the mean for niche parties is 0.30 (p = 0.79 in a two-tailed t-test).2;discriminant validity;External Validation: Other Scores / Measures;;Yes;Lastly, I find some evidence that the level of moral rhetoric reflected in my manifestobased measure is played out in campaign speech data. With the dictionary I used to create Moral rhetoric, I created a speech-based measure of moral rhetoric at the sentence level for ten parties that I could find data on: the two major parties in the 2004, 2007, 2010, and 2013 Australian elections3 and the two major parties in the 2011 New Zealand general election.4The correlation between Moral rhetoric and the speech-based measure is 0.82 (p = 0.00).;convergent validation with speech-based data;External Validation: Other Scores / Measures;No;Yes;Yes;Yes;;
01.09.2022 18:18:17;Platforms for Incivility: Examining Perceptions Across Different Media Formats;Sydnor, Emily;No;There is not text analyzed (the text is just one of the treatment conditions/manipulations);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.09.2022 19:23:55;Measuring Polarization with Text Analysis: Evidence from the UK House of Commons, 1811–2015;Goet, Niels D.;Yes, Continue with Coding;;Politics: Parliamentary Records;English;;polarization (or ideological standpoint);Supervised: Machine Learning, Unsupervised: Text Scaling;Text scaling: Wordfish, Text scaling: Wordshoal, Machine learning: New machine classification approach;;No;;Yes;"First, we consider face validity, which includes both a general and a detailed benchmark. The general test is a quick and simple impression of the distribution of the estimates
over time [...] However, as (Quinn et al. 2010, 216) rightly note, “[f]ace validity is inherently subjective, generally viewed as self-evident by authors and with practiced skepticism by readers”. This does not mean that face validity cannot be useful, if applied in a consistent way. A second, and more important face validity criterion of my framework therefore is that the measure must pass a detailed “historical test”:";General test: The level of variability between sessions within the same parliament should be at a reasonable level AND Detailed test: Outliers in our estimates should correspond with a priori expectations derived from authoritative (secondary) sources.;Others;Yes;Second, the framework considers how well our estimates converge with results obtained with supervised methods, at two levels. First, at the aggregate level (here defined as the yearly parliamentary session), we should expect that levels of polarization correlate with other exogenously defined measures:;Session-level test: The level of polarization in sessions should correspond well with exogenously defined measures of polarization. AND Individual-level test: The positions of MPs should correlate with their own left–right placement from an exogenous dataset.;Others;Yes;Third, the framework evaluates three measures of consistency relating to construct validity. First, we evaluate the variation in the position of MPs from session to session. We may expect the ideal point of legislators on a one-dimensional scale to vary somewhat because the agenda will include different items for each session. However, legislators should otherwise remain relatively consistent in their overall position across the issues discussed over the course of a parliamentary session.;Between-session consistency: The positions of MPs should correlate at a reasonable level between successive sessions. AND The Empirical Cumulative Distribution Function (ECDF) of individual-level estimates should show a reasonable separation of parties and key individuals should be placed as expected. AND Explanatory power of the party label: The variation in individual-level estimates should be a good predictor of the party label for each session.;Others;No;;;;;;;;;;;;;;Yes;No;No;;
01.09.2022 19:51:07;Twitter made me do it! Twitter's tonal platform incentive and its effect on online campaigning;"Mueller, Samuel David; Saeltzer, Marius";Yes, Continue with Coding;;Social Media: Twitter;English;;negative tone (negative incentive);Supervised: Machine Learning;Sentiment analysis;;No;;Yes;First, we test the accuracy of the dictionary on coded data;To validate our sentiment dictionary measurement, we had two coders code sentiment of a sample of 2000 tweets. Tweets were coded following a code book devel- oped by Mohammad (2016), separating them in five categories: positive, negative, neu- tral, sarcastic, and ambivalent. We then compared the sentiment score computed by the dictionary, coded down to the categorical level (negative tone < 0, positive tone > 0) to all tweets in the first three categories. We achieved a classification accuracy of 0.7 (see appendix for details).;External: Human Annotated Scores;Yes;second, we use machine learning to classify the rest of the tweets;"For testing our hypotheses, 2000 tweets are not nearly enough. More data is needed to estimate the negative binomial mixed models or having stable estimates on the individual level with more than 300 individuals. To extend the validation from coding to all obser- vations, we used a Naive Bayes classifier from the Quanteda package to classify tweets into three categories: neutral, negative, and positive. After training the classifier on the 2000 coded tweets, we used it to classify the remaining 95,909 tweets.
Since the measurement is now categorical and not continuous from −1 to 1, coeffi- cients are not directly comparable. To produce comparable output, we created a categ- orical measurement based on the sentiment analysis. Using the new categorical measurements of tone, we performed an identical analysis to our main analysis to see whether our previous results are supported by (1) the categorical measurement based on the sentiment analysis and (2) by the completely unrelated measurement produced by the Naive Bayes classifier.";External: Scores from other CATM;No;;;;;;;;;;;;;;;;;;Yes;No;No;;
04.10.2022 06:49:29;Mapping Political Communities: A Statistical Analysis of Lobbying Networks in Legislative Politics;"Kim, In Song; Kunisky, Dmitriy";No;"Seems that they don't really apply a computer-assisted text method; more so they seem to just count specific words in a Congress data set and then apply their so called ""Bipartite Link Community Model"" (biLCM).";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;david.gruening@gesis.org
05.09.2022 14:47:56;Mapping Political Communities: A Statistical Analysis of Lobbying Networks in Legislative Politics;"Kim, In Song; Kunisky, Dmitriy";No;only network analysis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;lukas.birkenmaier@outlook.de
