Zeitstempel,title,These are the Authors,"Please scan the text. 
Does the study fulfil the eligibility criteria?
- Empirical Study
- Field of Political Communication
- Using Text as Data Method to operationalise a construct of interest 

You may come back to this question if you have started to fill in some fields as well",If no: Why is the study out of scope?,source,language,language_others,"Please name the target construct as described by the authors)
Note: Please use the exact wording of the authors, such as ""affective polarization"", ""semantic complexity"".
If there is more than one construct studied, please separate constructs by a comma (,)",construct_new,method_type,method_name,What is the outcome of the method?,Do you have any comments on the study design?,If yes: What are your comments on the study design?,Are steps of validation reported?,Is there a link to an Appendix/additional Materials/GitHub repository?,"
Is the data for the analysis accessible?",Is the code for the analysis accessible?,E-Mail-Adresse,id,doi,journal,year,n_validation,location,v1,v2,v3,v4
2022-11-29T16:51:20Z,Understanding Delegation Through Machine Learning: A Method and Application to the European Union,"Anastasopoulos, L. Jason; Bertelli, Anthony M.","Yes, Continue with Coding",NA,Party Politics: Legislative Documents,English,NA,authority and constraint,Authority,Supervised: Machine Learning,gradient-boosted decision trees,NA,No,NA,NA,Yes,Yes,Yes,lukas.birkenmaier@outlook.de,"Understanding_Anastasopoulos,",10.1017/S0003055419000522,American Political Science Review,2020,2,a,"Franchino (2007) tests a hypothesis regarding the relationship between the decision
rule for a law|specically, qualied majority (QMV) versus unanimity rules|and
discretion to national administrations. Proposition 2.2 from his formal theory states
that the discretion of national administrations under unanimity voting is greater than
or equal to that prevailing under QMV (54{55). He tests this claim in several models,
but our focus is on the \summary"" tobit specications for national administrationsin the right-hand column of Table 5.6 that control for other hypothesized variables
(172). The dependent variable is the discretion index (^), while the independent
variable of interest is Decision rule, which takes a value of one for QMV and zero for
unanimity rules (122), and is expected to have a negative eect in Table 5.6. 6 We
focus on this variable because of its measurement quality: QMV versus unanimity
rule is the precise distinction that Franchino's formal theory incorporates.
As a nal validity check, we seek to replicate the foregoing regression results while
treating 90% of Franchino's original observations as out-of-sample. This allows us
to show that even with a very limited random sample of hand-coded provisions, we
can achieve substantive eects that are similar in sign, signicance and magnitude
to Franchino's original inferences.",replicating Substantive Results Out-of-Sample from another study,Unsure,Yes
2022-11-29T16:51:20Z,Understanding Delegation Through Machine Learning: A Method and Application to the European Union,"Anastasopoulos, L. Jason; Bertelli, Anthony M.","Yes, Continue with Coding",NA,Party Politics: Legislative Documents,English,NA,authority and constraint,Authority,Supervised: Machine Learning,gradient-boosted decision trees,NA,No,NA,NA,Yes,Yes,Yes,lukas.birkenmaier@outlook.de,"Understanding_Anastasopoulos,",10.1017/S0003055419000522,American Political Science Review,2020,2,b,"Table 2 contains performance metrics for each of the classiers. Figures 2(a) and
2(b) contain information about term importance for the EC and national admin-
istration authority classiers. The overall quality of each classier is captured by
the F1 statistic, which combines precision and recall (sensitivity) in a single metric
ranging from 0{1. Recall refers to classier performance in detecting authority and
constraint, while precision refers to its ability to distinguish between correctly and
incorrectly labeled provisions. The precision and recall statistics in Table 2 suggest
that our trained classiers perform well for detecting authority and some categories
of constraint (high recall), but that they may tend to overestimate constraint (low
precision for some constraint categories). Figures 3a, 3b and 4a, 4b plot predicted
versus hand-coded delegation ratios averaged over each year in the training sam-
ple, 1958{1993 using 50% out of sample predictions. Both show that our classiers",hand-coding,External: Human Annotated Scores,No
2022-11-28T11:18:33Z,Enhancing Theory-Informed Dictionary Approaches with “Glass-box” Machine Learning: The Case of Integrative Complexity in Social Media Comments,"Dobbrick, Timo; Jakob, Julia; Chan, Chung-Hong; Wessler, Hartmut","Yes, Continue with Coding",NA,"Social Media: Twitter, Social Media: Facebook, Website Comments",Others,"English, German",integrative complexity,Complexity,"Supervised: Machine Learning, Rule-based: Off-the-shelf dictionary",na,NA,No,NA,NA,No,NA,NA,lukas.birkenmaier@outlook.de,"Enhancing_Dobbrick,",10.1080/19312458.2021.1999913,Communication Methods and Measures,2021,2,a,"The gold standard was coded by three trained human coders based on the previously described scale
from 1 (lowest complexity) to 7 (highest complexity) (Baker-Brown et al., 1992). In a pretest with 100
stratified randomly selected user comments, the three raters reached a Krippendorff’s αordinal reliability
of .85. Each gold standard comment was then coded by two individuals, with disagreements being
resolved consensually. The coder pairs had reached Krippendorff’s αordinal reliability of .88 and .86 in
the pretest, respectively.",hand-coding,External: Human Annotated Scores,Yes
2022-11-28T11:18:33Z,Enhancing Theory-Informed Dictionary Approaches with “Glass-box” Machine Learning: The Case of Integrative Complexity in Social Media Comments,"Dobbrick, Timo; Jakob, Julia; Chan, Chung-Hong; Wessler, Hartmut","Yes, Continue with Coding",NA,"Social Media: Twitter, Social Media: Facebook, Website Comments",Others,"English, German",integrative complexity,Complexity,"Supervised: Machine Learning, Rule-based: Off-the-shelf dictionary",na,NA,No,NA,NA,No,NA,NA,lukas.birkenmaier@outlook.de,"Enhancing_Dobbrick,",10.1080/19312458.2021.1999913,Communication Methods and Measures,2021,2,b,"The random forest regression model that was combined with the off-the-shelf dictionary additionally
allows to generate a variable importance table. This measurement quantifies the reduction in predictive
performance of the random forest regression model when a variable of interest is randomly shuffled along rows. Applying the original terminology from Breiman’s landmark paper (Breiman,
2001), the variable of interest is “noised” (being turned into meaningless random noise). A greater
reduction in performance after a variable being “noised” indicates that the variable is relatively more
important for generating the prediction. It is important to note that the value is comparative only
across the variables in the random forest model and thus there is no cutoff point. Due to the complex
interactions among variables in a random forest regression model, the metric does not tell us anything
about the relative importance of variables in the case of a simple linear combination of variables (e.g.,
equation 2). Nonetheless, this makes it possible to find those LIWC categories that were used (most
heavily) by the regression trees in the random forest ensemble to generate the prediction. Figure 2
shows the variable importance for the random forest classifiers fed with all available LIWC dimensions
(2nd level analysis), trained on the German and English corpus.In both models the top categories comprise several ones that also appear in the baseline LIWC
formula used by Wyss et al. (2015), including for example, “Excl,” “Discr,” “Sixl,” “Incl,” “Negate,”
“Tent,” and “Cause.” This suggests that the resulting classification model is closely linked to the
existing theory, which further validates this approach. The conjunctions (“Conj”) that are rather
important in the English model have also previously been part of theoretically derived LIWC-based
operationalizations of integrative complexity (Abe, 2011). Moreover, formal features such as punctuation
(e.g., “AllPunc,” “OtherP,” “comma”) or words per sentence (“WPS”) seem to carry important
information about the integrative complexity of the user comments. Additional top categories such as
job-related words, quantifiers, or achievement words have a further impact on explaining the operationalization
of integrative complexity in our case study.
The variable importance analysis presented in Figure 2 is tied closely to our use case and especially
our dataset. Its main use is to open the black box to diagnose the random forest model. This allows for
further insights into our dataset and the specific operationalization of integrative complexity that we
have based our study on. Yet, further research is required to show which categories carry importance
when this method is transferred to other datasets. This reiterates our point for the thorough validation
of instruments when carrying them over to new datasets or application domains.",error anaylsis,Content Validation,No
2022-11-24T19:00:58Z,"Dictionaries, Supervised Learning, and Media Coverage of Public Policy","Dun, Lindsay; Soroka, Stuart; Wlezien, Christopher","Yes, Continue with Coding",NA,Newspaper,English,NA,Media Policy Signal,Discourse,"Supervised: Machine Learning, Rule-based: Development dictionary","self-developed dictionary, random forest",NA,No,NA,NA,Yes,Yes,Yes,lukas.birkenmaier@outlook.de,"Dictionaries,_Dun,",10.1080/10584609.2020.1763529,Political Communication,2021,2,a,"We use two indicators to judge model performance in our test set: precision and recall.
Recall is the proportion of correct predictions made by the model out of all human coded
sentences in a class (correct predictions divided by column sums in our confusion
matrices presented in Table 1).",hand-coding,External: Human Annotated Scores,Yes
2022-11-24T19:00:58Z,"Dictionaries, Supervised Learning, and Media Coverage of Public Policy","Dun, Lindsay; Soroka, Stuart; Wlezien, Christopher","Yes, Continue with Coding",NA,Newspaper,English,NA,Media Policy Signal,Discourse,"Supervised: Machine Learning, Rule-based: Development dictionary","self-developed dictionary, random forest",NA,No,NA,NA,Yes,Yes,Yes,lukas.birkenmaier@outlook.de,"Dictionaries,_Dun,",10.1080/10584609.2020.1763529,Political Communication,2021,2,b,"The correspondence between the two media signals is striking, as is their correspondence
with spending. The two media signals – one based entirely on dictionaries, and the
other based on supervised learning – have a Pearson’s correlation of 0.85. How does each
measure compare with spending change? The correlation with spending change is only
marginally larger for the supervised learning signal (0.63) than for the dictionary signal
(0.60), and the difference is not reliable (N = 39; for the difference in correlation
coefficients, p = .84). In sum, dictionary-plus-supervised-learning approach yields only
a very small gain in the accuracy of our media policy signal.",using both CTAM methods on a new sample,External: Scores from other CATM,No
2022-11-30T13:55:21Z,"Living in the Past or Living in the Future? Analyzing Parties’ Platform Change In Between Elections,The Netherlands 1997–2014","Van Der Velden, Mariken; Schumacher, Gijs; Vis, Barbara","Yes, Continue with Coding",NA,Party Politics: Press releases,Others,Dutch,Party Plattform Change,Discourse,Unsupervised: Topic Modeling,LDA,NA,No,NA,NA,Yes,Yes,Yes,lukas.birkenmaier@outlook.de,Living_Van,10.1080/10584609.2017.1384771,Political Communication,2018,3,a,"On the basis of
reading 50 of the documents per topic, 50 titles of the press releases, and the 20 best-word
matches per topic, we selected the model that identified 25 topics (supplemental Appendix
B describes this process in more detail). The 25-topic model balances specificity in terms
of the issues the model describes (see Table B2 in supplemental Appendix B) and its
unique topics. For instance, in some of the models the issue of the economy was dispersed
over multiple issues (see supplemental Appendix B for our approach and the topics we
identified).",content valdiation of top words,Content Validation,Yes
2022-11-30T13:55:21Z,"Living in the Past or Living in the Future? Analyzing Parties’ Platform Change In Between Elections,The Netherlands 1997–2014","Van Der Velden, Mariken; Schumacher, Gijs; Vis, Barbara","Yes, Continue with Coding",NA,Party Politics: Press releases,Others,Dutch,Party Plattform Change,Discourse,Unsupervised: Topic Modeling,LDA,NA,No,NA,NA,Yes,Yes,Yes,lukas.birkenmaier@outlook.de,Living_Van,10.1080/10584609.2017.1384771,Political Communication,2018,3,b,"The correlation between the dependent variable based on models with a
different number of topics and our measure based on the 25-topic model is very high
(between 0.79 and 0.92; see Figure B1 in the supplemental Appendix)",rerunning analysis,Unsure,Yes
2022-11-30T13:55:21Z,"Living in the Past or Living in the Future? Analyzing Parties’ Platform Change In Between Elections,The Netherlands 1997–2014","Van Der Velden, Mariken; Schumacher, Gijs; Vis, Barbara","Yes, Continue with Coding",NA,Party Politics: Press releases,Others,Dutch,Party Plattform Change,Discourse,Unsupervised: Topic Modeling,LDA,NA,No,NA,NA,Yes,Yes,Yes,lukas.birkenmaier@outlook.de,Living_Van,10.1080/10584609.2017.1384771,Political Communication,2018,3,c,"As an additional validation, we compare
our measure to the average attention to issues in an electoral term to the average attention
to issues in election manifestos using the Manifesto Project (Volkens et al., 2014). A
problem with this latter approach is that the topics identified by our topic model and by the
Manifesto Project do not exactly match. Therefore, we focus only on a number of cases of
clear matches: the issue of the economy, the environment, multiculturalism, and the
European Union (EU). The correlation between the average attention for these four issues
in our data set with the average attention in the Manifesto Project is 0.76. This indicates
that what is salient to parties in our data corresponds with the salience of a topic in parties’
election manifestos. For instance, the correlation between attention to the environment in
our data and in the manifesto data for the Greens is 0.67. For the Freedom Party, the
correlation on multiculturalism as measured in our data and by the Manifesto Project is
0.98. This indicates that our measure conforms to the main data source used to measure
party platform change (for overviews of studies using this data, see Adams, 2012;
Fagerholm, 2015).",comparison of topics with manifesto project scores,External: Criterion data / Predictive validation,No
2022-09-05T16:00:16Z,Policy Diffusion: The Issue‐Definition Stage,"Gilardi, Fabrizio; Shipan, Charles R.; Wüest, Bruno","Yes, Continue with Coding",NA,Newspaper,English,NA,Policy Framing,Framing,Unsupervised: Topic Modeling,Structural Topic Model,NA,No,NA,Yes,Yes,Yes,Yes,lukas.birkenmaier@outlook.de,"Policy_Gilardi,",10.1111/ajps.12521,American Journal of Political Science,2021,1,a,Figure 1 shows how topic prevalence is distributed over time across all states; a detailed validation is discussed in SI Appendix C.3.,Visual Inspection of Topic prevalende (supplementary materials can not be found),Content Validation,No
