"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"KYN2SVD3","journalArticle","","Palmer, L","Press Freedom during Covid-19: The Digital Discourses of the International Press Institute, Reporters Sans Frontieres, and the Committee to Protect Journalists","DIGITAL JOURNALISM","","","http://dx.doi.org/10.1080/21670811.2021.1943480","","This study explores the ways in which global press freedom watchdogs have discursively constructed the issue of press freedom during the Covid-19 pandemic. Drawing on a multimodal discourse analysis, the study examines web stories and Tweets posted by the International Press Institute (IPI), the Committee to Protect Journalists (CPJ), and Reporters sans Frontieres (RSF), with the purpose of answering three primary questions: (1) Who or what do the CPJ, the IPI, and RSF represent as the greatest threat to press freedom in relation to Covid-19? (2) What are the differences between these groups' representations of press freedom in their own regions of the world and their representations of press freedom in Other places? (3) What digital strategies do the IPI, CPJ, and RSF use in coverage of the Covid-19 pandemic? The article ultimately seeks to understand the ways in which each of these influential press freedom groups help to popularize particular understandings of press freedom in the 21st century.","","2022-07-01T09:25:05Z","2022-07-01T09:25:05Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4284","","","","","","","",""
"XAPZRMFN","journalArticle","","Sydnor, E","Platforms for Incivility: Examining Perceptions Across Different Media Formats","POLITICAL COMMUNICATION","","","http://dx.doi.org/10.1080/10584609.2017.1355857","","This article investigates how the mix of attributes present across different media shapes perceptions of incivility. I argue that certain modalities, particularly the channel and structure of a media platform, facilitate the perception of media as more uncivil even if the content is kept the same. To test this argument, I conduct two survey experiments in which participants are randomly assigned to treatments in which the substantive content and text remains the same but is packaged to mimic different media types. Generally, audio and video increase awareness of incivility cues as well as participants' evaluations of negative, emotional, and entertaining tone. There are also differences in the extent to which individuals notice incivility on Twitter than on other text-based media platforms. The social media platform is also particularly entertaining in comparison to the other platforms studied. This article demonstrates that media attributes interact to shape our understanding and identification of uncivil language. Furthermore, it suggests that more attention should be focused on identifying the different sets of characteristics that make incivility more or less likely or salient in political media.","","2022-07-01T09:25:05Z","2022-07-01T09:25:05Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4284","","","","","","","",""
"HEI6P9VR","journalArticle","","Kaiser, N, J; Rauchfleisch, A; Bourassa","Connecting the (Far-)Right Dots: A Topic Modeling and Hyperlink Analysis of (Far-)Right Media Coverage during the US Elections 2016","DIGITAL JOURNALISM","","","http://dx.doi.org/10.1080/21670811.2019.1682629","","The 2016US election and the victory of Donald Trump are closely connected to a perceived rise of the far-right in the United States. We build upon public sphere and alternative media theory to discuss the relevance of alternative media for the US (far-)right and whether the election period and the candidate Trump allowed far-right alternative media to establish themselves in the (far-) right networked public sphere. We investigate whether it has come to a convergence of topics between the right and the extreme far-right. We analyze the topics nine right-wing outlets, ranging from Fox News to the Neo-Nazi Daily Stormer, covered in 2015/2016 during the US presidential election. We show through topic modeling of 21,919 articles how Breitbart established itself as a media outlet between the extreme far-right and mainstream right by both covering more extreme and more classic conservative topics. We show through time series clustering how Breitbart and Fox News converged in their coverage of Islam and immigration. Finally, we show through hyperlink analysis that the connection between the far-right and the mainstream right is mostly one-sided; while the alternative outlets link to more established ones, the established outlets mostly ignore the outlets from the far-right.","","2022-07-01T09:25:05Z","2022-07-01T09:25:05Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4284","","","","","","","",""
"DNDDJGNE","journalArticle","","Liu, RC, JY; Siegel, L; Gibson, LA; Kim, Y; Binns, S; Emery, S; Hornik","Toward an Aggregate, Implicit, and Dynamic Model of Norm Formation: Capturing Large-Scale Media Representations of Dynamic Descriptive Norms Through Automated and Crowdsourced Content Analysis","JOURNAL OF COMMUNICATION","","","http://dx.doi.org/10.1093/joc/jqz033","","Media content can shape people's descriptive norm perceptions by presenting either population-level prevalence information or descriptions of individuals' behaviors. Supervised machine learning and crowdsourcing can be combined to answer new, theoretical questions about the ways in which normative perceptions form and evolve through repeated, incidental exposure to normative mentions emanating from the media environment. Applying these methods, this study describes tobacco and e-cigarette norm prevalence and trends over 37 months through an examination of a census of 135,764 long-form media texts, 12,262 popular YouTube videos, and 75,322,911 tweets. Long-form texts mentioned tobacco population norms (4-5%) proportionately less often than e-cigarette population norms (20%). Individual use norms were common across sources, particularly YouTube (tobacco long-form: 34%; Twitter: 33%; YouTube: 88%; e-cigarette long form: 17%; Twitter: 16%; YouTube: 96%). The capacity to capture aggregated prevalence and temporal dynamics of normative media content permits asking population-level media effects questions that would otherwise be infeasible to address.","","2022-07-01T09:25:05Z","2022-07-01T09:25:05Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4284","","","","","","","",""
"TDV2T6JF","journalArticle","","Chang, C","Information Credibility under Authoritarian Rule: Evidence from China","POLITICAL COMMUNICATION","","","http://dx.doi.org/10.1080/10584609.2021.1901806","","Do citizens under authoritarian rule trust government information? To answer this question, I compared citizen statements and movement trajectories from smartphone social media communication in real-time with precise timestamps and locations in response to the government's press releases during the Kunming railway station attack in southwestern China in 2014. I find that while outward engagement with government information may increase as the government releases more information, citizen trust in such information, in fact, diminishes, even when the information itself is straightforward and factual. In other words, an authoritarian government's efforts to disseminate information comes with a cost - its credibility.","","2022-07-01T09:25:05Z","2022-07-01T09:25:05Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4284","","","","","","","",""
"LZUK2JSH","journalArticle","","Jaidka, Y, K; Zhou, A; Lelkes","Brevity is the Soul of Twitter: The Constraint Affordance and Political Discussion","JOURNAL OF COMMUNICATION","","","http://dx.doi.org/10.1093/joc/jqz023","","Many hoped that social networking sites would allow for the open exchange of information and a revival of the public sphere. Unfortunately, conversations on social media are often toxic and not conducive to healthy political discussions. Twitter, the most widely used social network for political discussions, doubled the limit of characters in a tweet in November 2017, which provided an opportunity to study the effect of technological affordances on political discussions using a discontinuous time series design. Using supervised and unsupervised natural language processing methods, we analyzed 358,242 tweet replies to U.S. politicians from January 2017 to March 2018. We show that doubling the permissible length of a tweet led to less uncivil, more polite, and more constructive discussions online. However, the declining trend in the empathy and respectfulness of these tweets raises concerns about the implications of the changing norms for the quality of political deliberation.","","2022-07-01T09:25:05Z","2022-07-01T09:25:05Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4284","","","","","","","",""
"WN5DKVEX","journalArticle","","Coe, CL, K; Bruce, RJ; Ratcliff","Presidential Communication About Marginalized Groups: Applying a New Analytic Framework in the Context of the LGBT Community","JOURNAL OF COMMUNICATION","","","http://dx.doi.org/10.1111/jcom.12335","","Scholars have long observed that presidential communication about a marginalized group can help shape that group's reality. Yet most analyses of such communication focus on a relatively small number of texts, making it difficult to identify important changes over time and analyze factors that might explain those changes. The present study proposes an analytic framework that specifies 4 measurable parameters of presidential communication about marginalized groups, as well as 4 explanatory factors. We use this framework to analyze the census of presidents' formal communications about the LGBT community. Results highlight presidents' limited communicative engagement with the LGBT community and the roles that political party, rhetorical context, public opinion, and sociocultural touchstones play in explaining presidential communication about this important group.","","2022-07-01T09:25:05Z","2022-07-01T09:25:05Z","","","","","","","","","","","","","","","","","","","","","","","","C:\Users\birkenls\Zotero\storage\SRTMBQUI\Coe - Presidential Communication About Marginalized Grou.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4284","","","","","","","",""
"RTPEK5BX","journalArticle","","Baden, M, C; Kligler-Vilenchik, N; Yarchi","Hybrid Content Analysis: Toward a Strategy for the Theory-driven, Computer-assisted Classification of Large Text Corpora","COMMUNICATION METHODS AND MEASURES","","","http://dx.doi.org/10.1080/19312458.2020.1803247","","Given the scale of digital communication, researchers face a painful trade-off between powerful, scalable computational strategies, and the theoretical sensitivity offered by small-scale manual analyses. Especially in the study of natural discourse on digital media, the interactive, ever-evolving stream of conversations across multiple platforms regularly defies efforts to obtain well-defined samples of manageable size, while their linguistic variability imposes major limitations upon the accuracy of automated tools. In this paper, we draw upon recent advances in computational text analysis to develop a hybrid approach to the deductive analysis of large-scale digital discourse, which combines the algorithmic extraction of coherent, recurrent patterns with a manual coding of identified patterns. The approach scales up to treat millions of texts at minimal added human effort, while affording researchers close control over the process of theory-guided classification. We demonstrate the power of Hybrid Content Analysis by studying polarization in a quarter of a million contributions from cross-platform interactive social media discourse about a controversial incident.","","2022-07-01T09:25:05Z","2022-07-01T09:25:05Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4284","","","","","","","",""
"DEIMKCPJ","journalArticle","","Amsalem, T, E; Fogel-Dror, Y; Shenhav, SR; Sheafer","Fine-Grained Analysis of Diversity Levels in the News","COMMUNICATION METHODS AND MEASURES","","","http://dx.doi.org/10.1080/19312458.2020.1825659","","Many researchers consider the presentation of diverse content as a prerequisite for the news media to fully exercise their democratic mandate. While prior news diversity studies have contributed important theoretical insights, we argue here that scholarly knowledge of this concept can be significantly advanced by employing computational methods for text analysis. Using automated methods, researchers can increase both the scope of data being analyzed and the resolution of the analysis. This article presents a novel framework for analyzing news diversity consisting of two distinct stages. In the first stage, a computational text classification method is used to analyze, at a high resolution, the attention given in news texts to a broad range of political and social issues. In the second stage, the text classifications are aggregated, and the distributions of media attention to those issues (i.e., news diversity) are assessed on a large scale. After presenting the novel approach, we illustrate its usefulness for testing theoretical hypotheses about news diversity. We compare the diversity of economic coverage in three elite and three popular US newspapers (N= 252,807 articles) and find that a fine-grained analysis relaxes concerns raised in previous studies about low content diversity in the popular press.","","2022-07-01T09:25:05Z","2022-07-01T09:25:05Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4284","","","","","","","",""
"6KZNLNEX","journalArticle","","Bustikova, S, L; Siroky, DS; Alashri, S; Alzahrani","Predicting Partisan Responsiveness: A Probabilistic Text Mining Time-Series Approach","POLITICAL ANALYSIS","","","http://dx.doi.org/10.1017/pan.2019.18","","When do parties respond to their political rivals and when do they ignore them? This article presents a new computational framework to detect, analyze and predict partisan responsiveness by showing when parties on opposite poles of the political spectrum react to each other's agendas and thereby contribute to polarization. Once spikes in responsiveness are detected and categorized using latent Dirichlet allocation, we utilize the terms that comprise the topics, together with a gradient descent solver, to assess the classifier's predictive accuracy. Using 10,597 documents from the official websites of radical right and ethnic political parties in Slovakia (2004-2014), the analysis predicts which political issues will elicit partisan reactions, and which will be ignored, with an accuracy of 83% (F-measure) and outperforms both Random Forest and Naive Bayes classifiers. Subject matter experts validate the approach and interpret the results.","","2022-07-01T09:25:05Z","2022-07-01T09:25:05Z","","","","","","","","","","","","","","","","","","","","","","","","C:\Users\birkenls\Zotero\storage\FLVVXLJ3\Bustikova - Predicting Partisan Responsiveness A Probabilisti.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4285","","","","","","","",""
