PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	WE	SC	GA	UT	PM	OA	HC	HP	DA
J	Eichorst, J; Lin, NCN				Eichorst, Jason; Lin, Nick C. N.			Resist to Commit: Concrete Campaign Statements and the Need to Clarify a Partisan Reputation	JOURNAL OF POLITICS			English	Article						party reputation; competency signals; campaign statements; text processing	ELECTION PLEDGES; PRESIDENTIAL-CANDIDATES; ELECTORAL CONSEQUENCES; COALITION GOVERNMENTS; POLICY SHIFTS; PARTY; AMBIGUITY; CONTEXT; BRAND; PERCEPTIONS	Democratic accountability relies on citizens to anticipate future governing behavior. We explore the strategic incentives for parties to shape voter expectations by generating vague or concrete campaign statements. Using an English-language dictionary, we scale electoral statements from all industrialized English-speaking nations to develop a measure of concreteness. Concrete statements can create electoral risks from unfulfilled expectations. Yet, political parties have incentives to use concrete statements to clarify reputation uncertainty associated with unclear informational cues. Political context shapes these incentives. Incumbent parties tend to dictate concrete statements to balance attributed responsibility for government outcomes and signal that they are competent managers. Strong government performance, however, reduces the incentive for incumbents to be concrete, as favorable outcomes reveal competent management. Opposition parties are unconstrained from these demands. The research reveals how political parties actively manage and balance the information that voters use in order to adjust the informative value of party reputation.	[Eichorst, Jason] Univ Mannheim, Collaborat Res Ctr SFB884, Mannheim, Germany; [Lin, Nick C. N.] Acad Sinica, Inst Polit Sci, Taipei, Taiwan		Eichorst, J (corresponding author), Univ Mannheim, Collaborat Res Ctr SFB884, Mannheim, Germany.	eichorst@uni-mannheim.de; nicklin@uni-mannheim.de			German Research Foundation (DFG)German Research Foundation (DFG) [SFB884]	We acknowledge financial support from the German Research Foundation (DFG) via the SFB884 on "The Political Economy of Reforms" (projects C1 and C4).		76	4	4	2	7	UNIV CHICAGO PRESS	CHICAGO	1427 E 60TH ST, CHICAGO, IL 60637-2954 USA	0022-3816	1468-2508		J POLIT	J. Polit.	JAN 1	2019	81	1					15	32		10.1086/700002			18	Political Science	Social Science Citation Index (SSCI)	Government & Law	HG5SY	WOS:000455040500005					2022-03-30	
J	Rutter, RN; Hanretty, C; Lettice, F				Rutter, Richard Nathan; Hanretty, Chris; Lettice, Fiona			Political Brands: Can Parties Be Distinguished by Their Online Brand Personality?	JOURNAL OF POLITICAL MARKETING			English	Article						political marketing; brand personality; brand differentiation; political brands	IMAGE CONGRUENCE; DIMENSIONS; CANDIDATES; WEBSITES; PREFERENCE; ELECTIONS; MODELS; EQUITY; LEADER; STYLE	This paper investigates whether five English political parties are differentiating themselves based on the brand personality they are communicating through their websites. The relative brand positions of five English political parties are analyzed using Aaker's brand personality scale. The text from each party website is analyzed using content analysis and a dictionary-based tool. The results are plotted in relation to one another on a correspondence analysis map. We find that the two main dimensions on which parties' brand personalities differ relate to the trade-offs between communicating competence and communicating sincerity and between communicating sophistication and communicating ruggedness. We find that parties' brand personalities are distinctive, with the exception of the Green Party, and that the position of one party, the United Kingdom Independence Party, is particularly distinctive. Our research uses Aaker's existing framework for thinking about brand personalities, rather than creating a new framework for politics. By using an existing framework, we are able to use tools developed in other disciplines and show their usefulness for the study of political marketing.	[Rutter, Richard Nathan] Sohar Univ, Sohar, Oman; [Rutter, Richard Nathan; Hanretty, Chris; Lettice, Fiona] Univ East Anglia, Norwich, Norfolk, England		Rutter, RN (corresponding author), Sohar Univ, Fac Business, POB 44,PC311, Sohar, Oman.	richrutter@gmail.com						69	9	10	4	12	ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD	ABINGDON	2-4 PARK SQUARE, MILTON PARK, ABINGDON OX14 4RN, OXON, ENGLAND	1537-7857	1537-7865		J POLITICAL MARKETIN	J. Political Marketing		2018	17	3					193	212		10.1080/15377857.2015.1022631			20	Political Science	Emerging Sources Citation Index (ESCI)	Government & Law	GL9CR	WOS:000437528500001		Green Accepted			2022-03-30	
J	Ruedin, D				Ruedin, Didier			Obtaining Party Positions on Immigration in Switzerland: Comparing Different Methods	SWISS POLITICAL SCIENCE REVIEW			English	Article						Migration; Political science; Political parties; Elections	ROBUST TRANSFORMATION PROCEDURE; INTERPRETING POLITICAL TEXT; ESTIMATING POLICY POSITIONS; EUROPEAN INTEGRATION; EXPERT SURVEYS; WORDSCORES; VALIDITY; SALIENCE; ISSUE	The position of political parties on policy issues is crucial for many questions of political science, including studies of political representation. This research note examines different methods for obtaining party positions on immigration in retrospective. Party positions are obtained using pooled expert surveys, manual coding of party manifestos with a conventional codebook, manual coding of manifestos using check-lists, and automatic coding of manifestos using Wordscores and a dictionary of keywords respectively. In addition, positions from a media analysis and a retrospective evaluation of researchers in the field of immigration are used. The results suggest that most methods differentiate the same order of party positions. While there are high correlations between many methods, the different methods tend not to agree on the exact positions. The automatic dictionary approach does not seem to measure party positions reliably.	[Ruedin, Didier] Univ Neuchatel, Swiss Forum Migrat & Populat Studies SFM, CH-2000 Neuchatel, Switzerland		Ruedin, D (corresponding author), Univ Neuchatel, Swiss Forum Migrat & Populat Studies, Fbg Hop 106, CH-2000 Neuchatel, Switzerland.	didier.ruedin@wolfson.oxon.org		Ruedin, Didier/0000-0001-5213-4316				49	24	24	0	20	WILEY-BLACKWELL	HOBOKEN	111 RIVER ST, HOBOKEN 07030-5774, NJ USA	1424-7755	1662-6370		SWISS POLIT SCI REV	Swiss Polit. Sci. Rev.	MAR	2013	19	1					84	105		10.1111/spsr.12018			22	Political Science	Social Science Citation Index (SSCI)	Government & Law	112WV	WOS:000316626000005		Green Submitted			2022-03-30	
J	Kosmidis, S; Hobolt, SB; Molloy, E; Whitefield, S				Kosmidis, Spyros; Hobolt, Sara B.; Molloy, Eamonn; Whitefield, Stephen			Party Competition and Emotive Rhetoric	COMPARATIVE POLITICAL STUDIES			English	Article						positive affect; valence; rhetoric; polarization; party competition; speeches; manifestos; policy pledges	POLICY SHIFTS; CANDIDATE LOCATION; AFFECTIVE NORMS; WESTERN-EUROPE; SPATIAL THEORY; VALENCE; MODEL; UNCERTAINTY; ELECTIONS; WORDS	When do parties use emotive rhetoric to appeal to voters? In this article, we argue that politicians are more likely to employ positive affect (valence) in their rhetoric to appeal to voters when parties are not ideologically distinct and when there is uncertainty about public preferences. To test these propositions, our article uses well-established psycholinguistic affect dictionaries to generate scores from three time series of political text: British party manifestos (1900-2015) and annual party leaders' speeches (1977-2014) as well as U.S. Presidents' State of the Union addresses (1880-2016). Our findings corroborate our expectations and have important implications for the study of party competition by illuminating the role of valence in the way politicians communicate their policies.	[Kosmidis, Spyros; Whitefield, Stephen] Manor Rd Bldg,Manor Rd, Oxford OX13UQ, England; [Hobolt, Sara B.] London Sch Econ & Polit Sci, European Inst, London, England; [Molloy, Eamonn] Univ Oxford, Pembroke Coll, Management Studies, Oxford, England; [Molloy, Eamonn] Univ Oxford, Said Business Sch, Oxford, England; [Whitefield, Stephen] Univ Oxford, Polit, Dept Polit & Int Relat, Oxford, England; [Whitefield, Stephen] Univ Oxford, Pembroke Coll, Polit, Oxford, England		Kosmidis, S (corresponding author), Manor Rd Bldg,Manor Rd, Oxford OX13UQ, England.	spyros.kosmidis@politics.ox.ac.uk	Hobolt, Sara B/W-8109-2019	Hobolt, Sara B/0000-0002-9742-9502	John Fell Fund [103/762]	The authors disclosed receipt of the following financial support for the research, authorship, and/or publication of this article: The project was funded by the John Fell Fund (Ref: 103/762) at the University of Oxford.		86	10	10	0	17	SAGE PUBLICATIONS INC	THOUSAND OAKS	2455 TELLER RD, THOUSAND OAKS, CA 91320 USA	0010-4140	1552-3829		COMP POLIT STUD	Comp. Polit. Stud.	MAY	2019	52	6					811	837		10.1177/0010414018797942			27	Political Science	Social Science Citation Index (SSCI)	Government & Law	HS1IU	WOS:000463616400001		Green Submitted, Green Accepted			2022-03-30	
C	Kuamri, S; Babu, CN			IEEE	Kuamri, Santoshi; Babu, Narendra C.			Real Time Analysis of Social Media Data to Understand People Emotions Towards National Parties	2017 8TH INTERNATIONAL CONFERENCE ON COMPUTING, COMMUNICATION AND NETWORKING TECHNOLOGIES (ICCCNT)	International Conference on Computing Communication and Network Technologies		English	Proceedings Paper	8th International Conference on Computing, Communication and Networking Technologies (ICCCNT)	JUL 03-05, 2017	Delhi, INDIA	IEEE, IEEE SSCS, Indian Inst Technol Delhi, Bannari Amman Inst Technol, Kongu Engn Coll		social media; data analytics; text mining; lexicon; unsupervised; sentiemnt analysis		Social media has given new way of communication technology for people to share their opinions, interest, sentiments. Huge amount of unstructured data is generated from social media like Facebook, twitter, LinkedIn, which is repository of useful insights. Analytics can be applied to extract various useful insights form this. Main objective of this paper is to extract the knowledge from large social media data, identify the people sentiments and behavior to make cognizant decisions. Effective sentiment analysis of people emotions is necessary for complex topics like politics, government, present trends and healthcare. These objective are achieved by real time retrieval of twitter data and perform sentiment analysis. It helps to classify emotions of the people are positive, negative, happy, sad or neutral towards national parties of India (BJP and INC). Considering people emotions, parties can identify their weakness and look after improvement to fulfill society needs and work towards satisfying people requirements. Using text mining and unsupervised lexical method classified tweets related to these parties to identify people emotions for the parties.	[Kuamri, Santoshi; Babu, Narendra C.] MS Ramaiah Univ Appl Sci, Dept CSE, Banaglore, India		Kuamri, S (corresponding author), MS Ramaiah Univ Appl Sci, Dept CSE, Banaglore, India.	santoshik29@gmail.com; narendrababu.c@gmail.com	Chindanur, Narendra Babu/AAF-5898-2019	Chindanur, Narendra Babu/0000-0002-2358-3443				21	1	1	0	3	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA	2162-7665		978-1-5090-3038-5	INT CONF COMPUT			2017													6	Computer Science, Hardware & Architecture; Telecommunications	Conference Proceedings Citation Index - Science (CPCI-S)	Computer Science; Telecommunications	BJ5JW	WOS:000425956500161					2022-03-30	
J	Ceron, A				Ceron, Andrea			Changing politics, changing language The effect of institutional and communicative changes on political language measured through content analysis of Italian intra-party debates	JOURNAL OF LANGUAGE AND POLITICS			English	Article						ideology; leadership; populism; text analysis; lexicon; left-right	PARTY; MEDIATIZATION; BERLUSCONI; DISCOURSE; LEADERS	This paper examines the changes in political language that occurred after 1989 in Italy and focuses on textual documents drafted by intra-party subgroups between 1946 and 2010 that were related to the internal debates of Italian political parties. These documents, which are addressed to party members and activists rather than the wider public, have been analyzed through quantitative text analysis of word frequencies. The results confirm that a few relevant changes occurred that involve the lexicon, tone, and content of messages. However, concepts such as left and right are still relevant, and we observed neither a strong decline in the use of ideological terms nor a wider usage of populist words. Despite the growing personalization of politics, the main political leaders are not frequently mentioned, with two exceptions: Prodi and Berlusconi. Overall, there is a distance between intra-party politics and the logic of entertainment.	[Ceron, Andrea] Univ Milan, Dipartimento Sci Sociali & Polit, I-20122 Milan, Italy		Ceron, A (corresponding author), Univ Milan, Dipartimento Sci Sociali & Polit, Via Passione 13, I-20122 Milan, Italy.	andrea.ceron@unimi.it		Ceron, Andrea/0000-0002-6686-5969				41	2	2	1	10	JOHN BENJAMINS PUBLISHING CO	AMSTERDAM	PO BOX 36224, 1020 ME AMSTERDAM, NETHERLANDS	1569-2159	1569-9862		J LANG POLIT	J. Lang. Polit.		2015	14	4					528	551		10.1075/jlp.14.4.03cer			24	Linguistics; Language & Linguistics	Social Science Citation Index (SSCI); Arts &amp; Humanities Citation Index (A&amp;HCI)	Linguistics	CZ8VT	WOS:000367377900003		Green Submitted			2022-03-30	
J	Ruedin, D; Morales, L				Ruedin, Didier; Morales, Laura			Estimating party positions on immigration: Assessing the reliability and validity of different methods	PARTY POLITICS			English	Article						Europe; immigration; party manifestos; party positions; position estimation	POLICY POSITIONS; ISSUE OWNERSHIP; EXPERT SURVEYS; TEXT; COMPETITION; SPACE	We provide a systematic assessment of various methods to position political parties on immigration, a policy domain that does not necessarily overlap with left-right and is characterized by varying salience and issue complexity. Manual and automated coding methods drawing on 283 party manifestos are compared - manual sentence-by-sentence coding using a conventional codebook, manual coding using checklists, automated coding using Wordscores, Wordfish and keywords. We also use expert surveys and the Comparative Manifesto Project (CMP), covering the main parties in Austria, Belgium, France, Ireland, the Netherlands, Spain, Switzerland and the United Kingdom, between 1993 and 2013. We find high levels of consistency between expert positioning, manual sentence-by-sentence coding and manual checklist coding and poor or inconsistent results with the CMP, Wordscores, Wordfish and the dictionary approach. An often-neglected method - manual coding using checklists - offers resource efficiency with no loss in validity or reliability.	[Ruedin, Didier] Univ Neuchatel, Faubourg Hop 6, CH-2000 Neuchatel, Switzerland; [Ruedin, Didier] Univ Witwatersrand, Johannesburg, South Africa; [Morales, Laura] Univ Leicester, Leicester, Leics, England		Ruedin, D (corresponding author), Univ Neuchatel, Faubourg Hop 6, CH-2000 Neuchatel, Switzerland.	didier.ruedin@unine.ch		Morales, Laura/0000-0002-6688-6508; Ruedin, Didier/0000-0001-5213-4316	European CommissionEuropean CommissionEuropean Commission Joint Research Centre [225522]	The author(s) disclosed receipt of the following financial support for the research, authorship, and/or publication of this article: This work was supported by the European Commission's Seventh Framework Programme (FP7/2007-2013) under grant 225522.		47	15	15	0	8	SAGE PUBLICATIONS LTD	LONDON	1 OLIVERS YARD, 55 CITY ROAD, LONDON EC1Y 1SP, ENGLAND	1354-0688	1460-3683		PARTY POLIT	Party Polit.	MAY	2019	25	3					303	314		10.1177/1354068817713122			12	Political Science	Social Science Citation Index (SSCI)	Government & Law	HW1GI	WOS:000466430900002		Green Submitted			2022-03-30	
J	Decadri, S; Boussalis, C				Decadri, Silvia; Boussalis, Constantine			Populism, party membership, and language complexity in the Italian chamber of deputies	JOURNAL OF ELECTIONS PUBLIC OPINION AND PARTIES			English	Article							POLITICAL COMMUNICATION; TALK; PERCEPTION; DISCOURSE; SPEECHES; MODEL; STYLE; TEXT	Common wisdom suggests that populist politicians use a simple language. While scholars have provided vast anecdotal evidence of populists' plain speech style, the empirical literature on populist communication offers very few and mixed comprehensive evaluations of the complexity of elected officials' language. This paper relies on a novel populist dictionary and 78,855 utterances from the 17th Italian parliament - March 2013-July 2016 - to comprehensively study the link between populism and speech complexity. We argue that ideological and electoral considerations lead populist parties and politicians to employ a straightforward language. Moreover, we claim that party membership shapes the rhetoric of elected officials, leading members of populist parties to use a simpler language. Using computer-assisted text analytic techniques to inspect parliamentary speeches given by the members of nine Italian parties, we perform a difference-in-differences analysis of the influence of party switching on legislators' behaviour. Our results suggest that populist ideology, electoral strategy, and party membership influence legislators' language complexity. Our overarching conclusion is that language simplicity might be thought of as a feature of populist communication. This arguably has implications for the ability of populist actors to use a simple communication style to outperform their mainstream counterparts when competing for voters' support.	[Decadri, Silvia; Boussalis, Constantine] Univ Dublin Trinity Coll, Polit Sci, Dublin, Ireland		Decadri, S (corresponding author), Univ Dublin Trinity Coll, Dublin, Ireland.	decadris@tcd.ie	Boussalis, Constantine/AAC-5373-2022	Decadri, Silvia/0000-0003-0378-1183; Boussalis, Constantine/0000-0002-0609-6272				51	4	4	0	2	ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD	ABINGDON	2-4 PARK SQUARE, MILTON PARK, ABINGDON OX14 4RN, OXON, ENGLAND	1745-7289	1745-7297		J ELECT PUBLIC OPIN	J. Elect. Public Opin. Parties	OCT 1	2020	30	4					484	503		10.1080/17457289.2019.1593182			20	Political Science	Social Science Citation Index (SSCI)	Government & Law	OB7PU	WOS:000578659800005					2022-03-30	
J	Casado-Velarde, M				Casado-Velarde, Manuel			The political discourse of Podemos: the construction of an identity	CIRCULO DE LINGUISTICA APLICADA A LA COMUNICACION			Spanish	Article						Discourse analisis; political discourse; Podemos; populism	POPULISM	This article deals with the study about how the Spanish political party Podemos constructs its identity discursively, and tries to answer the question about whether it can be qualified as a populist in the strict sense. The corpus on which the investigation is based is constituted by the "Political document" of Podemos, available on the party's website. After a description of the linguistic features of that text, with particular emphasis on those of lexical-semantic character (with some relevant quantitative and statistical data), the discursive resources used to build the identity of the party are highlighted. The next step is to compare the characterizing features of Podemos's discourse with those provided by other recent studies on populist parties, to conclude that Podemos represents a political party with a clearly populist profile.	[Casado-Velarde, Manuel] Univ Navarra, Pamplona, Spain		Casado-Velarde, M (corresponding author), Univ Navarra, Pamplona, Spain.	mcasado@unav.es						23	1	1	1	4	UNIV COMPLUTENSE MADRID, SERVICIO PUBLICACIONES	MADRID	CIUDAD UNIV, OBISPO TREJO 3, MADRID, 28040, SPAIN	1576-4737			CIRC LINGUIST APL CO	Circ. Linguist. Apl. Comun.		2019		80			SI		177	190		10.5209/CLAC.66606			14	Linguistics; Language & Linguistics	Social Science Citation Index (SSCI); Arts &amp; Humanities Citation Index (A&amp;HCI)	Linguistics	JT0MS	WOS:000500692100011		Green Submitted, gold			2022-03-30	
J	Konig, T; Luig, B				Koenig, Thomas; Luig, Bernd			German 'LexIconSpace': Policy Positions and their Legislative Context	GERMAN POLITICS			English	Article							POLITICAL TEXTS; PARTIES; GOVERNMENT; SIMULATION; SERIES; WORDS; SPACE	This article presents a new approach for estimating the policy positions of political actors in the German multi-party policy space. The approach consists of two steps, 'smart tagging' in the data generation process and Bayesian factor analysis in the estimation process. 'Smart tagging' relates the statements of political parties and governments to the keywords of German federal legislation, which we use to estimate the policy positions in portfolio-specific n-dimensional policy spaces. Our G-LIS approach (German 'LexIconSpace') provides several advantages for scholars evaluating policy-seeking theories, in particular by providing context-related variation of policy positions across portfolios and over time. Our findings for the portfolio of 'labour and social policy' reveal a two-factor solution which unfolds a latent 'resource' and 'value' dimension in Germany during the period from 1961 to 2009. We find changes in the policy positions of German political parties and governments, which existing approaches can hardly identify in n-dimensional spaces under the specification of the error term for each dimension and actor.										54	5	5	1	5	ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD	ABINGDON	4 PARK SQUARE, MILTON PARK, ABINGDON OX14 4RN, OXFORDSHIRE, ENGLAND	0964-4008	1743-8993		GER POLIT	Ger. Polit.		2009	18	3					345	364		10.1080/09644000903055807			20	Political Science	Social Science Citation Index (SSCI)	Government & Law	663UK	WOS:000282915400004					2022-03-30	
