"","x"
"1","new york"
"2","artificial intelligence"
"3","china normal"
"4","commun technol"
"5","computational intelligence"
"6","computational social"
"7","computer science"
"8","digital humanities"
"9","ekaterinburg 620017"
"10","english language"
"11","finnish language"
"12","foreign languages"
"13","fujian normal"
"14","informat technol"
"15","intercultural commun"
"16","international conference"
"17","international journal"
"18","kazan volga"
"19","language resources"
"20","media studies"
"21","moscow 117198"
"22","moscow state"
"23","peoples friendship"
"24","petersburg state"
"25","political science"
"26","saudi arabia"
"27","social science"
"28","social sciences"
"29","south africa"
"30","state pedag"
"31","state university"
"32","state university journal"
"33","tomsk state"
"34","tomskogo gosudarstvennogo"
"35","university journal"
"36","vestnik tomskogo"
"37","vestnik tomskogo gosudarstvennogo"
